FName str,LName str,Gender str,AreaCode int,Phone str,City str,State str,Zip int,MaritalStatus str,HasChild str,Salary int,Rate float,SingleExemp float,MarriedExemp float,ChildExemp float
Andris,Gammill,,256.0,156-5986,BRANTLEY,AL,36009.0,S,N,10000.0,5.0,1500.0,0.0,0.0
Xiaopeng,Cheiner,,,537-5160,RALEIGH,NC,27690.0,M,N,20000.0,6.1520977,0.0,6600.0,0.0
Burkhard,Ballin,F,209.0,291-9116,LOS ANGELES,CA,90068.0,S,N,100000.0,9.3,87.0,0.0,0.0
Sachio,Franzblau,F,309.0,298-8689,HARDIN,,62047.0,S,,95000.0,3.0,2000.0,0.0,2000.0
Yucai,Leonidas,M,307.0,671-7685,AUBURN,WY,83111.0,S,Y,35000.0,0.0,0.0,0.0,0.0
Meltem,Osterloh,M,202.0,144-4863,WASHINGTON,DC,20539.0,S,N,,9.0,1370.0,0.0,0.0
Hiroki,Winters,F,205.0,,VANDIVER,AL,35176.0,S,Y,80000.0,5.0,1500.0,0.0,300.0
Soojung,Breuker,M,920.0,378-6942,GREEN BAY,WI,54303.0,M,Y,15000.0,4.707031,0.0,1400.0,
JoAnne,,F,857.0,981-2818,NATICK,MA,1760.0,M,N,35000.0,5.3,0.0,7150.0,0.0
Thoms,Ebeling,F,216.0,896-3824,BLISSFIELD,OH,43805.0,S,N,95000.0,3.6995387,1300.0,0.0,0.0
,Krabbel,M,765.0,213-2549,CLAYTON,IN,46118.0,S,N,65000.0,3.4,1000.0,0.0,0.0
Rosalyn,Pinckney,M,781.0,527-2356,SALEM,MA,1971.0,M,Y,80000.0,5.3,0.0,7150.0,1000.0
Zhibin,Peterka,F,715.0,166-2135,MILWAUKEE,WI,53244.0,S,,50000.0,5.3151608,700.0,,0.0
Keshab,Kubera,M,708.0,359-8771,FOX VALLEY,IL,,S,,90000.0,3.0,2000.0,0.0,2000.0
Ragui,Shokrollahi,M,201.0,713-7145,MILLSTONE TOWNSHIP,,,,Y,5000.0,1.4,1000.0,0.0,1500.0
Felicity,Latyshev,F,307.0,133-1064,CHEYENNE,WY,82009.0,M,,85000.0,0.0,0.0,0.0,
Heng,Pelz,M,312.0,333-1255,REDDICK,IL,60961.0,S,Y,5000.0,3.0,2000.0,0.0,2000.0
Xiaowei,Michalakopoulos,F,605.0,153-5365,MANDERSON,SD,57756.0,M,N,5000.0,0.0,0.0,0.0,0.0
Houari,Zaimov,F,443.0,394-9085,,MD,,S,Y,40000.0,4.75,2400.0,0.0,2400.0
Teresemarie,Aso,,401.0,686-2628,WESTERLY,RI,2891.0,S,Y,60000.0,0.0,0.0,0.0,0.0
Milvio,Cippico,M,207.0,378-4165,AUGUSTA,ME,4336.0,S,Y,20000.0,,2850.0,0.0,2850.0
Surapant,Bail,M,864.0,,CORDOVA,SC,29039.0,S,Y,15000.0,7.0,3300.0,0.0,3300.0
Constantine,Nitsch,F,719.0,183-3382,PENROSE,CO,81240.0,S,,75000.0,4.63,0.0,0.0,
Kyosun,Dahlhaus,F,435.0,767-4129,SALT LAKE CITY,UT,84133.0,M,N,30000.0,7.0,0.0,4950.0,0.0
Keiji,Kennamer,F,870.0,423-1116,LUXORA,AR,72358.0,S,Y,70000.0,7.0,,0.0,20.0
,Hamrick,F,318.0,475-8528,METAIRIE,LA,,S,Y,35000.0,6.0,4500.0,0.0,1000.0
Pui,Stenstrom,M,937.0,440-9174,COLUMBUS,OH,43209.0,M,N,90000.0,,0.0,2600.0,0.0
,Brizzi,F,973.0,170-6348,HACKENSACK,NJ,7601.0,,N,10000.0,1.4,1000.0,0.0,0.0
Keju,Obradovich,F,,874-7542,ROCKY MOUNT,NC,27801.0,M,N,45000.0,6.6765733,0.0,6600.0,0.0
Mei,Brolio,F,347.0,631-2873,DEANSBORO,NY,13328.0,,,100000.0,,0.0,0.0,0.0
Daan,Givens,M,308.0,787-2479,,NE,68123.0,M,Y,20000.0,,0.0,206.0,103.0
Kuhanandha,Strothotte,M,325.0,821-4378,,TX,78672.0,S,Y,20000.0,0.0,0.0,0.0,0.0
Sukhmay,Kaio,M,505.0,,LOS LUNAS,NM,87031.0,,N,65000.0,5.3,0.0,6600.0,0.0
Joacheim,Goodby,,605.0,240-9915,WESTPORT,SD,57481.0,,,20000.0,0.0,0.0,0.0,0.0
,Cestnik,M,308.0,162-8455,WESTON,NE,68070.0,S,Y,50000.0,6.84,103.0,0.0,103.0
Liao,Viehstaedt,M,920.0,713-4471,IRON BELT,WI,,S,Y,55000.0,,700.0,,
Rang,Fordan,M,605.0,302-3147,MILESVILLE,SD,57553.0,S,Y,55000.0,,0.0,0.0,0.0
,McAffer,M,605.0,808-3276,MURDO,SD,57559.0,S,N,75000.0,0.0,0.0,0.0,0.0
Giorgio,Aue,M,812.0,529-5445,INDIANAPOLIS,IN,46291.0,M,Y,65000.0,3.4,0.0,2000.0,1000.0
Vinod,Olano,,701.0,557-5034,MICHIGAN,ND,58259.0,M,,10000.0,2.1,0.0,6600.0,0.0
Wassili,Marinissen,F,970.0,876-4713,CRESTED BUTTE,CO,81224.0,,N,55000.0,4.63,0.0,0.0,0.0
Zinovy,Simovich,M,301.0,605-3763,DARLINGTON,,21034.0,M,N,15000.0,4.75,0.0,4800.0,
Lingtao,Keohane,M,321.0,795-5178,CAPTIVA,FL,33924.0,S,N,15000.0,0.0,0.0,0.0,0.0
Royce,Tagansky,F,317.0,525-2037,FLOYDS KNOBS,IN,47119.0,S,,65000.0,3.4,1000.0,0.0,1000.0
Ramaswami,Wise,F,,860-3448,MISSOURI CITY,TX,77489.0,M,N,15000.0,0.0,0.0,0.0,
Aikira,Bamford,F,480.0,946-1029,PHOENIX,AZ,85079.0,S,Y,10000.0,2.87,2100.0,0.0,
,Chown,F,,633-5699,GENESEE,ID,83832.0,S,,45000.0,7.8,3300.0,0.0,3300.0
Christhard,Shilcrat,M,718.0,,PORT EWEN,NY,12466.0,M,Y,15000.0,4.040549,0.0,0.0,1000.0
Zahi,,F,774.0,,BOSTON,MA,2266.0,M,N,95000.0,5.3,0.0,7150.0,0.0
,Akaboshi,M,769.0,987-8822,,MS,39078.0,S,Y,90000.0,5.0,6000.0,0.0,1500.0
Nobukazu,Desal,F,504.0,870-6692,NORCO,LA,70079.0,M,N,70000.0,6.0,0.0,9000.0,0.0
Mugo,Agius,M,401.0,139-1208,PROVIDENCE,,2901.0,S,N,65000.0,0.0,0.0,,0.0
,Koblitz,M,307.0,252-2639,NATRONA,WY,82646.0,,N,5000.0,0.0,0.0,0.0,0.0
Xuemin,Rich,F,561.0,520-5838,STUART,,34994.0,M,N,45000.0,0.0,0.0,0.0,0.0
Theodosios,Stanculescu,M,707.0,275-5509,SAN DIEGO,CA,92135.0,S,N,35000.0,7.7709284,87.0,0.0,0.0
Theodore,Hillebrand,M,,635-2640,CHINCOTEAGUE ISLAND,VA,23336.0,S,Y,65000.0,5.75,,0.0,
Hussein,Ramsey,F,770.0,808-9183,FAYETTEVILLE,GA,30214.0,M,Y,40000.0,6.0,0.0,5400.0,3000.0
Cormac,Gradel,F,605.0,615-9997,HARRISON,SD,57344.0,S,N,35000.0,0.0,0.0,0.0,0.0
Mechtild,,M,712.0,453-3790,BEAVER,,50031.0,S,Y,10000.0,1.7078737,40.0,0.0,40.0
Nestor,Day,M,978.0,460-9061,ORANGE,MA,1364.0,M,N,65000.0,,0.0,7150.0,0.0
Pratap,Maloney,F,662.0,752-3853,,MS,39149.0,,Y,20000.0,,0.0,12000.0,1500.0
Joydeep,Bias,F,602.0,848-3705,KAIBETO,AZ,86053.0,S,N,5000.0,2.87,2100.0,0.0,
M'hamed,Quiles,M,,233-6405,GLENDALE,AZ,85304.0,S,Y,75000.0,3.8775,2100.0,0.0,2300.0
Nabih,Habel,F,605.0,847-1442,OACOMA,SD,57365.0,M,N,40000.0,0.0,0.0,,0.0
Fredrik,Hanata,M,,262-2073,CENTRAL FALLS,RI,2863.0,S,N,,0.0,0.0,0.0,0.0
Koppolu,Guiu,,913.0,307-1576,TOPEKA,,66611.0,S,Y,45000.0,6.45,2250.0,0.0,
Hana,Walinsky,M,276.0,448-3813,WARRENTON,VA,20187.0,S,Y,10000.0,3.875,900.0,0.0,900.0
,Holcombe,F,386.0,347-6780,MIAMI,FL,33299.0,S,Y,60000.0,0.0,0.0,0.0,0.0
Masaki,Venkataraman,F,479.0,772-5434,WILMOT,AR,71676.0,S,N,40000.0,7.0,20.0,0.0,0.0
Shivraj,Medvidovic,F,610.0,886-2499,NORTHUMBERLAND,PA,17857.0,M,Y,,3.07,0.0,0.0,0.0
Molly,Multari,M,505.0,507-2751,DEXTER,NM,88230.0,S,N,25000.0,5.3,3300.0,0.0,0.0
Edmundo,Thalheim,M,205.0,624-2917,BIRMINGHAM,AL,35228.0,M,Y,100000.0,5.0,0.0,3000.0,300.0
Domen,,M,551.0,441-5820,NORTH BRUNSWICK,NJ,8902.0,M,N,70000.0,2.1885417,0.0,2000.0,0.0
Keju,Click,F,678.0,129-4683,EASTANOLLEE,GA,30538.0,M,Y,20000.0,6.0,0.0,5400.0,3000.0
Stefaan,Ullrich,,843.0,985-6808,CONWAY,SC,29526.0,M,,80000.0,7.0,0.0,6600.0,
Tulika,Massotte,F,856.0,885-1737,EAST BRUNSWICK,NJ,8816.0,M,Y,70000.0,2.1885417,0.0,2000.0,
Souri,Muhammad,M,509.0,453-6972,BRINNON,WA,,S,N,30000.0,,0.0,0.0,0.0
Berto,Kriegman,M,205.0,,BIRMINGHAM,AL,35240.0,S,N,100000.0,5.0,1500.0,,0.0
Eddi,Sander,M,,983-7454,LOIZA,,,M,Y,30000.0,0.0,0.0,,0.0
Shinsuke,Tourancheau,F,808.0,175-1614,WAKE ISLAND,,96898.0,M,Y,100000.0,8.25,0.0,2080.0,
Steffen,,,336.0,,GREENSBORO,NC,27413.0,M,N,100000.0,7.8304195,0.0,,0.0
Anargyros,Mallett,M,775.0,264-1906,,NV,89164.0,M,N,35000.0,0.0,0.0,0.0,0.0
Alistair,Deuel,F,270.0,654-9539,WASHINGTON,KY,41096.0,,Y,,2.9444444,,0.0,20.0
Nadir,Gille,F,573.0,523-8484,KANSAS CITY,MO,,S,Y,,6.0,2100.0,0.0,1200.0
Hilan,Lapkowski,F,803.0,448-8223,COLUMBIA,SC,29208.0,S,Y,60000.0,7.0,3300.0,0.0,3300.0
Heping,Kaarela,F,,238-9416,NEW HAVEN,CT,6540.0,M,N,80000.0,5.0,0.0,24500.0,
,Raje,M,435.0,689-6436,OGDEN,UT,84244.0,M,Y,100000.0,7.0,0.0,4950.0,
HweeHwa,Dharanipragada,F,563.0,364-7693,WALKER,IA,52352.0,S,N,10000.0,1.7078737,40.0,0.0,0.0
,Uhrik,M,580.0,303-2845,OKLAHOMA CITY,OK,73154.0,S,Y,40000.0,6.25,,0.0,1000.0
Tiziano,,F,774.0,757-5533,UPTON,,1568.0,M,N,30000.0,5.3,0.0,7150.0,0.0
Willa,Ruemmler,M,336.0,534-5624,RALEIGH,NC,27609.0,M,Y,30000.0,6.361888,0.0,6600.0,3300.0
Polle,Zeidenstein,F,954.0,601-7062,,FL,33323.0,S,N,85000.0,0.0,0.0,0.0,0.0
Michinori,,F,207.0,,LEWISTON,ME,4241.0,S,Y,100000.0,8.5,2850.0,0.0,2850.0
Subhasish,Werling,M,601.0,175-3083,SLEDGE,MS,38670.0,S,,100000.0,5.0,,0.0,1500.0
Alyson,Feuerman,F,707.0,732-5199,POLLOCK PINES,CA,95726.0,M,N,95000.0,9.3,0.0,174.0,0.0
Sangchul,Dunbar,M,,298-7683,HISEVILLE,KY,42152.0,,Y,50000.0,4.611111,0.0,40.0,20.0
Nic,Meekings,F,559.0,732-9574,SACRAMENTO,CA,,M,Y,80000.0,9.3,0.0,174.0,
Tuvi,Blumenrohr,F,302.0,179-4141,NEWARK,DE,19716.0,M,,95000.0,5.95,0.0,220.0,0.0
,Wouk,F,939.0,954-9457,SAN JUAN,PR,926.0,,Y,95000.0,0.0,0.0,0.0,0.0
Ren,Achilles,F,406.0,627-5923,WHITEHALL,MT,59759.0,S,Y,50000.0,6.9,1900.0,0.0,1900.0
,Herbst,M,479.0,662-9190,FORT SMITH,AR,72906.0,S,Y,95000.0,7.0,20.0,0.0,20.0
Adib,,,302.0,375-1331,FENWICK ISLAND,DE,19944.0,S,N,50000.0,5.268182,110.0,,0.0
Adhemar,,F,931.0,407-3380,ATHENS,TN,37371.0,,Y,20000.0,0.0,0.0,0.0,
Gabriella,Nagavamsi,F,802.0,,NORWICH,VT,5055.0,S,N,50000.0,3.9998987,3300.0,,0.0
Youngmok,Panagopoulos,,207.0,,HARBORSIDE,ME,4642.0,S,Y,10000.0,4.5857663,2850.0,0.0,2850.0
Oron,Conte,,845.0,164-7741,SYRACUSE,NY,13235.0,S,N,50000.0,4.243293,0.0,0.0,0.0
Yuehong,Picton,,202.0,694-7080,WASHINGTON,DC,20552.0,M,Y,45000.0,9.0,0.0,2740.0,1370.0
Ergun,Zirkelbach,F,719.0,965-9855,BOULDER,CO,80328.0,M,N,40000.0,4.63,0.0,0.0,0.0
,Masiero,F,815.0,591-8979,CLINTON,IL,61727.0,S,N,100000.0,3.0,2000.0,0.0,0.0
Sebastiano,Gooday,F,662.0,,JAYESS,MS,39641.0,M,Y,40000.0,5.0,0.0,12000.0,1500.0
Naseem,Colorni,M,785.0,697-6679,ABBYVILLE,KS,67510.0,S,Y,75000.0,6.45,2250.0,0.0,2250.0
,Staggers,M,718.0,887-2009,WALWORTH,NY,14568.0,M,Y,50000.0,4.243293,0.0,0.0,
Yakichi,,F,205.0,622-2467,DEMOPOLIS,AL,,S,,,,1500.0,0.0,0.0
Suzette,Gustafsson,M,612.0,781-7163,HAMPTON,MN,55031.0,M,N,40000.0,6.3900213,,6600.0,0.0
,Giovanetti,F,626.0,259-2367,SAN DIEGO,CA,,S,N,25000.0,5.410157,87.0,0.0,0.0
,Piperakis,F,217.0,937-9501,BREESE,IL,62230.0,M,N,30000.0,3.0,0.0,4000.0,0.0
Gill,Goldsby,F,703.0,181-1130,RICHMOND,,23232.0,S,Y,80000.0,5.75,900.0,0.0,900.0
Dammmian,Soreide,M,308.0,166-1977,OMAHA,NE,68172.0,M,Y,20000.0,,0.0,206.0,103.0
,Baranowski,,,925-6869,ALBUQUERQUE,NM,87195.0,S,N,85000.0,5.3,3300.0,0.0,0.0
Maylis,Hemaspaandra,M,662.0,446-2198,,MS,39211.0,M,Y,20000.0,5.0,0.0,,1500.0
Aya,Kochskamper,M,207.0,677-5974,BLAINE,ME,4734.0,S,Y,95000.0,8.5,2850.0,0.0,2850.0
Palle,Krabbel,M,304.0,155-3860,JUNIOR,WV,26275.0,M,Y,10000.0,3.0,0.0,4000.0,2000.0
Satya,Ducret,,351.0,814-7040,PROVINCETOWN,MA,2657.0,S,N,55000.0,5.3,3575.0,0.0,
Hongwen,Ernst,M,208.0,145-9738,SUN VALLEY,ID,83353.0,S,N,,2.6903439,3300.0,0.0,
Terilyn,Balluchi,F,,536-5494,SELAH,WA,98942.0,M,Y,10000.0,0.0,0.0,,0.0
Stanislav,Nerima,M,808.0,927-5597,SCHOFIELD BARRACKS,HI,96857.0,S,Y,30000.0,,1040.0,0.0,
,Gaborit,M,,669-9957,CROMONA,KY,,S,N,,4.611111,20.0,0.0,0.0
Selmin,Kans,M,202.0,329-1561,WASHINGTON,DC,20216.0,M,Y,90000.0,9.0,0.0,2740.0,1370.0
,Rembowski,F,405.0,781-8206,TULSA,OK,74171.0,S,N,40000.0,,1000.0,0.0,0.0
Berry,Rauhe,,641.0,228-8060,OSKALOOSA,IA,52577.0,S,Y,80000.0,8.98,40.0,0.0,40.0
Jayadev,Demizu,F,276.0,836-5028,GOLDVEIN,VA,22720.0,M,N,50000.0,5.75,0.0,1800.0,0.0
Joceli,Baldan,M,618.0,240-1541,,IL,62719.0,S,N,,3.0,2000.0,0.0,0.0
Qui,,,651.0,389-8994,AURORA,MN,55705.0,M,Y,15000.0,5.35,0.0,6600.0,3300.0
,McCoy,,402.0,702-1782,BURR,NE,68324.0,,N,65000.0,6.84,0.0,206.0,0.0
Geir,,M,402.0,836-3044,OMAHA,,68179.0,S,N,65000.0,6.84,103.0,,0.0
Djenana,Gravano,F,520.0,,POLACCA,AZ,86042.0,M,Y,90000.0,4.11,0.0,,2300.0
Carmelo,Terenzi,M,504.0,100-7976,NEW ORLEANS,LA,70129.0,S,N,15000.0,2.8,4500.0,0.0,0.0
Martien,Swartout,M,404.0,636-6305,HORTENSE,GA,31543.0,S,Y,100000.0,6.0,2700.0,0.0,3000.0
Bodh,Brazdil,M,307.0,357-4636,WAMSUTTER,WY,82336.0,S,,70000.0,0.0,0.0,0.0,0.0
Zhongcheng,Tarlescu,M,307.0,522-7907,EVANSVILLE,WY,82636.0,M,N,20000.0,0.0,0.0,0.0,0.0
Annegret,Wolf,M,,789-4250,FLORENCE,SC,29501.0,S,Y,45000.0,7.0,,0.0,3300.0
Roded,Wavish,F,251.0,624-7274,SHANNON,AL,,S,N,35000.0,5.0,1500.0,0.0,0.0
Vram,Baudino,F,701.0,161-4229,SCRANTON,ND,58653.0,S,Y,,2.8569736,3300.0,0.0,3300.0
Seongyeol,Auletta,M,505.0,493-3846,ALBUQUERQUE,NM,,M,Y,70000.0,5.3,0.0,6600.0,
Shaoyu,Rowen,F,567.0,535-4739,SOMERDALE,OH,,M,N,25000.0,1.3758974,,2600.0,0.0
Spira,Will,F,614.0,273-3915,NORWICH,OH,,M,N,30000.0,1.5418718,0.0,2600.0,0.0
Lifeng,Rivett,F,228.0,771-9951,MERIDIAN,MS,39307.0,M,N,40000.0,5.0,0.0,12000.0,0.0
Nada,Strout,F,314.0,398-5573,HELENA,,,M,,50000.0,6.0,0.0,4200.0,0.0
,Tomassini,F,808.0,812-8815,KEALAKEKUA,HI,96750.0,S,Y,95000.0,8.25,1040.0,0.0,1040.0
Yingxu,Sensen,M,605.0,600-7109,WINFRED,SD,57076.0,S,Y,100000.0,0.0,0.0,0.0,0.0
Alexius,,F,262.0,,HAWTHORNE,WI,54842.0,S,N,60000.0,5.488912,700.0,0.0,0.0
Saulo,Bhatt,,502.0,180-7770,FLATGAP,KY,41219.0,S,Y,75000.0,6.0,20.0,0.0,20.0
Rachida,Morrin,F,302.0,447-5664,NEWARK,DE,19718.0,M,N,55000.0,5.609091,0.0,,0.0
Phil,,,440.0,937-9140,POWHATAN POINT,OH,43942.0,M,Y,80000.0,3.2016153,0.0,2600.0,
Jaan,Simkin,F,606.0,410-7372,JEREMIAH,KY,,M,Y,30000.0,3.5,0.0,40.0,20.0
Toney,Padget,M,412.0,957-4247,GREELEY,PA,18425.0,M,,80000.0,3.07,0.0,0.0,
,Kornatzky,,605.0,384-3449,PRINGLE,SD,57773.0,S,Y,65000.0,0.0,0.0,0.0,0.0
Kent,Crames,F,580.0,,TULSA,OK,74132.0,S,Y,10000.0,6.25,1000.0,0.0,1000.0
Subhada,Tuminaro,F,913.0,,HOISINGTON,,67544.0,,N,25000.0,5.4666667,0.0,4500.0,0.0
Hosam,Dedood,F,775.0,,,NV,89503.0,S,Y,20000.0,0.0,0.0,,0.0
Debbie,Chaturvedi,M,,164-7458,,,64166.0,S,N,70000.0,6.0,,0.0,
Hyungjeong,Hofmeyr,F,,774-9221,RUTH,NV,89319.0,S,Y,,0.0,0.0,0.0,0.0
Adelinde,Torelli,F,228.0,646-2362,MICHIGAN CITY,MS,38647.0,S,N,65000.0,5.0,6000.0,0.0,
Yahia,Lueh,M,,464-4898,WARREN,NH,,S,N,15000.0,0.0,0.0,0.0,0.0
Munehiko,Peck,M,,422-2209,TRIMBLE,TN,38259.0,M,,15000.0,0.0,0.0,0.0,0.0
,Kaklamani,,775.0,422-6400,SMITH,NV,89430.0,M,Y,30000.0,0.0,0.0,0.0,0.0
Zhenyi,Galdes,F,607.0,355-2344,REMSENBURG,,11960.0,S,Y,45000.0,4.2143292,0.0,0.0,1000.0
Rajamani,,M,413.0,994-5750,OAK BLUFFS,MA,2557.0,M,N,80000.0,5.3,0.0,7150.0,0.0
Sreerama,Durer,M,717.0,205-4454,WILLIAMSPORT,PA,17702.0,S,Y,65000.0,3.07,,0.0,0.0
Werasak,,F,515.0,734-9027,SHENANDOAH,IA,51601.0,M,Y,70000.0,8.98,0.0,80.0,40.0
Yousri,Campr,M,,725-7269,,LA,70640.0,M,N,80000.0,6.0,0.0,9000.0,0.0
Mingsheng,Cedeno,M,207.0,625-4782,WATERFORD,ME,4088.0,S,Y,30000.0,8.5,2850.0,0.0,
Isabella,Lavrac,,360.0,131-3926,VANCOUVER,WA,98662.0,S,N,50000.0,0.0,0.0,0.0,0.0
,Manacher,F,,853-5536,SCHOFIELD BARRACKS,HI,96857.0,S,N,65000.0,8.25,1040.0,0.0,0.0
Michaela,Pols,F,302.0,558-7430,HARRINGTON,DE,,S,N,20000.0,3.2227273,110.0,0.0,0.0
,,M,435.0,571-4980,SALT LAKE CITY,UT,84123.0,M,,60000.0,7.0,0.0,4950.0,0.0
Jengwei,Bidwell,F,207.0,893-2215,WEST FORKS,ME,4985.0,,Y,50000.0,,0.0,5700.0,2850.0
Yehea,Priebe,F,240.0,940-8866,SILVER SPRING,MD,20905.0,M,Y,65000.0,4.75,0.0,4800.0,2400.0
